id,name,country,url,verdict,http,final_domain,title,note
10411,Università Vita-Salute San Raffaele,Italy,https://www.unisr.it/en/homepage,ok,200,unisr.it,UniSR Università Vita-Salute San Raffaele - Milano Università Vita-Salute San Raffaele,"page names: raffaele, salute, san, vita"
10362,Università degli Studi di Roma - Tor Vergata,Italy,https://web.uniroma2.it/,ok,200,uniroma2.it,,"page names: degli, roma, studi, tor"
10320,Universität Erlangen-Nürnberg,Germany,https://www.fau.eu/,ok,200,fau.eu,Moving knowledge | FAU Erlangen-Nürnberg,"page names: erlangen, nurnberg"
10306,Universität Freiburg,Germany,https://uni-freiburg.de/en/,ok,200,uni-freiburg.de,University of Freiburg,page names: freiburg
10335,Universität zu Köln,Germany,https://uni-koeln.de/en/,ok,200,uni-koeln.de,Universität zu Köln: University of Cologne,page names: koln
10303,Université Catholique de Louvain (UCL),Belgium,https://uclouvain.be/en,ok,200,uclouvain.be,Université catholique de Louvain | Université catholique de Louvain,"page names: catholique, louvain"
10458,Université Claude Bernard Lyon 1,France,https://www.univ-lyon1.fr/en,ok,200,univ-lyon1.fr,Home - Lyon 1 Université Claude Bernard,"page names: bernard, claude, lyon"
10503,Université Côte dAzur,France,https://univ-cotedazur.eu/,ok,200,univ-cotedazur.eu,Université Côte d'Azur,"page names: azur, cote"
10331,Université Paris 1 Panthéon-Sorbonne,France,https://www.pantheonsorbonne.fr/,ok,200,pantheonsorbonne.fr,Bienvenue | Université Paris 1 Panthéon-Sorbonne,"page names: pantheon, paris, sorbonne"
10343,Université Paris Cité,France,https://u-paris.fr/language/en/,ok,200,u-paris.fr,Université Paris Cité | Welcome to Université Paris Cité,"page names: cite, paris"
10459,Université Paul Sabatier Toulouse III,France,https://www.utoulouse.fr/en,ok,200,utoulouse.fr,Home UT3 - Université de Toulouse,page names: toulouse
10421,Université de Bordeaux,France,https://www.u-bordeaux.fr/en,ok,200,u-bordeaux.fr,Home - University of Bordeaux,page names: bordeaux
10490,Université de Lille,France,https://www.univ-lille.fr/en/,ok,200,univ-lille.fr,Reception - University of Lille,page names: lille
10520,Université de Rennes 1,France,https://www.univ-rennes.fr/en/welcome-university-rennes,ok,200,univ-rennes.fr,Welcome to the University of Rennes | www.univ-rennes.fr,page names: rennes
10553,V.N. Karazin Kharkiv National University,Ukraine,https://karazin.ua/en/,ok,200,karazin.ua,V. N. Karazin Kharkiv&nbsp;National&nbsp;University | Karazin University,"page names: karazin, kharkiv"
10504,"Vellore Institute of Technology (VIT), Vellore, India",India,https://vit.ac.in/,ok,200,vit.ac.in,Top Engineering Institution in India | India&#039;s Leading University,"page names: india, vellore, vit"
10363,Virginia Polytechnic Institute (Virginia Tech),United States,https://www.vt.edu/index.html,ok,200,vt.edu,Home | Virginia Tech,"page names: polytechnic, tech, virginia"
10289,Wageningen University & Research,Netherlands,https://www.wur.nl/en,ok,200,wur.nl,Wageningen University &amp; Research | WUR,"page names: research, wageningen"
5408,Waseda University,Japan,https://www.waseda.jp/top/en/,ok,200,waseda.jp,Waseda University,page names: waseda
10292,Washington University in St. Louis,United States,https://washu.edu/,ok,200,washu.edu,Home | WashU,"page names: louis, washington"
